organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,RN Medical / Surgical,ASC-6699|AH-HHC-43231,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Nights 6:30pm - 7:00am Every other weekend 36 hours / week 13 week assignment Job Requirements: Active KS Registered Nurse License or Compact Multistate RN License 1 year Hospital RN experience Certifications: BLS', 'Department: Nursing Unit 003', 'Shift timings: 18:30 - 07:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical/Surgical- SF,ASC-6698|AH-HHC-16381,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Stepdown Intermediate Care 003', 'Shift timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7263|AH-HHC-94296,onsite,"['Department: Oncology Unit', 'Shift Timings: Late Evening 18:45 - 07:15 Hours ']","['Unit Capacity: 23 Beds', 'Nurse to Patient Ratios: 6:1', 'Young Adult through Late Adult (18 - 60+)', 'Patient with following diagnosis: Pneumonia/COPD/Sleep Apnea/Medical Telemetry/General Medical Ages of Patients Served', 'Population Served']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical/ Surgical-SF,ASC-6697|AH-HHC-98913,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Respiratory Intermdte Care 001', 'Shift timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse PCU Cardiac Surgery,ASC-7262|AH-HHC-14418,onsite,"['Department: Telemetry 4D ', 'Shift Timings: Early Morning shift 06:45 - 19:15 Hours ']","['Unit Capacity: 24 Beds', 'Population Served: Pre and Post Cardiac Surgery, Acute Coronary Syndrome, heart failure, cardiomyopathy, unstable arrhythmias and other related cardiac disorders.', 'Ages of Patients Served: Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 5:1']","['PCU Cardiac Surgery', 'Registered Nurse PCU Cardiac Surgery', 'Traveler PCU Cardiac Surgery']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse Medical/Surgical,ASC-7257|AH-HHC-72324,onsite,"['Department: Renal Dialysis Unit ', 'Shift Timings: Late Evening 18:30 - 07:00 Hours ']","['Unit Capacity: 21 Beds', 'Population Served: Renal medical patients (peritoneal dialysis and hemodialysis) as well as general medical patients.', 'Ages of Patients Served', 'Young Adult through Late Adult (18 - 60+)', 'Nurse to Patient Ratios: 1:6']","['Medical Surgical Registered Nurse', 'RN Medical / Surgical', 'Traveler Registered Nurse Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,Registered Nurse Progressive Care Unit,ASC-7218|AH-HHC-93753,onsite,"['Department: Stepdown Intermediate Care ', 'Shift timings: Early Morning shift 06:45 - 19:15 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Registered Nurse Critical Care', 'Registered Nurse - Critical Care Unit (CCU)', 'Traveler Registered Nurse Critical Care']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Licensed Registered Nurse credentialed from the Tennessee Board of Nursing, Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), CPI (Certified Principal Investigator) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Medical/Surgical- SF,ASC-6691|AH-HHC-31419,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Respiratory Intermdte Care 001', 'Shift timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical/Surgical- SF,ASC-6678|AH-HHC-37052,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Respiratory Intermdte Care 001', 'Shift timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Medical/Surgical-SF,ASC-6676|AH-HHC-65946,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Respiratory Intermdte Care 001', 'Shift timings: 07:00 - 19:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,RN Interventional Radiology,ASC-7990|AH-HHC-92637,onsite,"['Department: Interventional Radiology', 'Shift Timings: Morning Shift  08:00 - 16:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team""]","['Interventional Radiology', 'RN Interventional Radiology', 'Traveler RN Interventional Radiology']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN Medical/ Surgical SF,ASC-6662|AH-HHC-22370,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Stepdown Intermediate Care 004', 'Shift timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Licensed Registered Nurse credentialed from the Kansas Board of Nursing required, Ascension Crisis Prevention and Intervention (CPI), Advanced Cardiovascular Life Support (ACLS), Trauma Nursing Core Course (TNCC), The National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse Labor and Delivery,ASC-7826|AH-HHC-67688,onsite,"['Department: LDRPN Unit', 'Shift Timings: Night shift and timings are 19:00 - 07:00 Hours']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Labour AND Delivery', 'Registered Nurse Labor AND Delivery']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Pediatric Advanced Life Support (PALS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
